"ssb","rec","spcode","sbro","sp"
28.415,10.372,7,6.155,"perch_us"
28.898,5.737,7,6.155,"perch_us"
31.989,3.772,7,6.155,"perch_us"
36.489,2.805,7,6.155,"perch_us"
39.081,2.448,7,6.155,"perch_us"
32.736,2.153,7,6.155,"perch_us"
19.966,2.281,7,6.155,"perch_us"
13.203,2.723,7,6.155,"perch_us"
12.381,6.036,7,6.155,"perch_us"
11.507,2.464,7,6.155,"perch_us"
10.816,1.376,7,6.155,"perch_us"
10.013,1.09,7,6.155,"perch_us"
9.175,1.361,7,6.155,"perch_us"
9.056,1.565,7,6.155,"perch_us"
8.596,1.476,7,6.155,"perch_us"
7.777,1.244,7,6.155,"perch_us"
7.58,1.18,7,6.155,"perch_us"
7.121,1.605,7,6.155,"perch_us"
6.941,1.646,7,6.155,"perch_us"
6.689,2.671,7,6.155,"perch_us"
6.354,0.978,7,6.155,"perch_us"
6.045,1.293,7,6.155,"perch_us"
5.312,1.384,7,6.155,"perch_us"
4.724,2.021,7,6.155,"perch_us"
4.276,0.568,7,6.155,"perch_us"
3.854,1.322,7,6.155,"perch_us"
3.526,1.642,7,6.155,"perch_us"
3.211,0.693,7,6.155,"perch_us"
2.866,1.726,7,6.155,"perch_us"
2.779,0.914,7,6.155,"perch_us"
2.534,0.491,7,6.155,"perch_us"
2.353,0.57,7,6.155,"perch_us"
2.111,0.537,7,6.155,"perch_us"
2.008,0.506,7,6.155,"perch_us"
89.299,8.847,8,18.144,"perch_goose"
88.304,7.429,8,18.144,"perch_goose"
87.227,7.42,8,18.144,"perch_goose"
81.505,6.499,8,18.144,"perch_goose"
64.703,3.816,8,18.144,"perch_goose"
58.819,5.2,8,18.144,"perch_goose"
53.981,7.454,8,18.144,"perch_goose"
49.768,5.427,8,18.144,"perch_goose"
46.53,2.369,8,18.144,"perch_goose"
45.948,1.153,8,18.144,"perch_goose"
42.882,0.83,8,18.144,"perch_goose"
40.553,0.908,8,18.144,"perch_goose"
35.959,2.589,8,18.144,"perch_goose"
34.885,18.227,8,18.144,"perch_goose"
33.163,11.265,8,18.144,"perch_goose"
32.136,4.902,8,18.144,"perch_goose"
31.474,4.299,8,18.144,"perch_goose"
30.289,11.742,8,18.144,"perch_goose"
28.764,8.83,8,18.144,"perch_goose"
28.242,8.003,8,18.144,"perch_goose"
34.914,4.144,8,18.144,"perch_goose"
35.423,8.131,8,18.144,"perch_goose"
36.339,5.944,8,18.144,"perch_goose"
37.369,4,8,18.144,"perch_goose"
41.337,4.645,8,18.144,"perch_goose"
41.849,5.088,8,18.144,"perch_goose"
23.511,17.917,9,5.478,"perch_ak"
19.79,8.251,9,5.478,"perch_ak"
19.6,7.328,9,5.478,"perch_ak"
19.025,64.403,9,5.478,"perch_ak"
17.087,12.323,9,5.478,"perch_ak"
14.492,31.242,9,5.478,"perch_ak"
14.058,50.482,9,5.478,"perch_ak"
14.564,66.458,9,5.478,"perch_ak"
15.221,32.768,9,5.478,"perch_ak"
16.562,145.799,9,5.478,"perch_ak"
18.813,94.371,9,5.478,"perch_ak"
20.138,60.544,9,5.478,"perch_ak"
20.494,27.417,9,5.478,"perch_ak"
20.509,73.139,9,5.478,"perch_ak"
21.175,53.283,9,5.478,"perch_ak"
24.206,58.37,9,5.478,"perch_ak"
246.31,302.019,10,5.729,"perch_ai"
252.326,55.704,10,5.729,"perch_ai"
237.361,26.898,10,5.729,"perch_ai"
193.458,21.474,10,5.729,"perch_ai"
148.029,20.503,10,5.729,"perch_ai"
114.152,54.343,10,5.729,"perch_ai"
94.599,34.452,10,5.729,"perch_ai"
90.627,19.515,10,5.729,"perch_ai"
83.655,21.242,10,5.729,"perch_ai"
63.781,16.979,10,5.729,"perch_ai"
53.66,20.291,10,5.729,"perch_ai"
42.769,13.904,10,5.729,"perch_ai"
39.189,13.831,10,5.729,"perch_ai"
33.312,22.763,10,5.729,"perch_ai"
28.324,55.274,10,5.729,"perch_ai"
24.392,46.814,10,5.729,"perch_ai"
22.707,66.27,10,5.729,"perch_ai"
22.079,14.481,10,5.729,"perch_ai"
21.448,42.251,10,5.729,"perch_ai"
21.201,112.647,10,5.729,"perch_ai"
22.502,22.459,10,5.729,"perch_ai"
27.066,95.105,10,5.729,"perch_ai"
34.033,63.88,10,5.729,"perch_ai"
41.939,43.106,10,5.729,"perch_ai"
49.164,70.277,10,5.729,"perch_ai"
55.881,38.377,10,5.729,"perch_ai"
65.675,63.895,10,5.729,"perch_ai"
75.857,28.641,10,5.729,"perch_ai"
128.601,17.729,11,5.482,"perch_ebs"
121.825,35.56,11,5.482,"perch_ebs"
103.954,43.09,11,5.482,"perch_ebs"
94.738,18.379,11,5.482,"perch_ebs"
83.463,14.549,11,5.482,"perch_ebs"
72.739,39.944,11,5.482,"perch_ebs"
64.724,24.851,11,5.482,"perch_ebs"
55.835,9.045,11,5.482,"perch_ebs"
46.026,10.723,11,5.482,"perch_ebs"
36.252,19.967,11,5.482,"perch_ebs"
32.268,11.078,11,5.482,"perch_ebs"
29.241,4.626,11,5.482,"perch_ebs"
27.513,3.262,11,5.482,"perch_ebs"
27.952,3.111,11,5.482,"perch_ebs"
26.762,4.241,11,5.482,"perch_ebs"
21.942,13.047,11,5.482,"perch_ebs"
17.986,27.294,11,5.482,"perch_ebs"
13.913,50.95,11,5.482,"perch_ebs"
13.411,18.268,11,5.482,"perch_ebs"
12.782,15.888,11,5.482,"perch_ebs"
12.295,14.677,11,5.482,"perch_ebs"
12.154,5.493,11,5.482,"perch_ebs"
12.736,5.805,11,5.482,"perch_ebs"
15.075,4.437,11,5.482,"perch_ebs"
19.056,7.456,11,5.482,"perch_ebs"
22.85,5.222,11,5.482,"perch_ebs"
25.76,5.1,11,5.482,"perch_ebs"
28.049,5.225,11,5.482,"perch_ebs"
29.535,5.698,11,5.482,"perch_ebs"
30.101,13.043,11,5.482,"perch_ebs"
29.036,12.88,11,5.482,"perch_ebs"
26.488,12.458,11,5.482,"perch_ebs"
24.789,12.148,11,5.482,"perch_ebs"
23.63,11.92,11,5.482,"perch_ebs"
22.513,11.688,11,5.482,"perch_ebs"
22.274,11.636,11,5.482,"perch_ebs"
22.346,11.652,11,5.482,"perch_ebs"
