"year","month","week","count","week_idx"
2014,11,47,731,244
2014,11,48,251,245
2014,12,48,320,246
2014,12,49,973,247
2014,12,50,1002,248
2014,12,51,854,249
2014,12,52,494,250
2014,12,53,52,251
2015,1,1,226,252
2015,1,2,266,253
2015,1,3,533,254
2015,1,4,486,255
2015,1,5,152,256
2015,2,5,43,257
2015,2,6,250,258
2015,2,7,262,259
2015,2,8,289,260
2015,2,9,44,261
2015,3,9,150,262
2015,3,10,770,263
2015,3,11,1217,264
2015,3,12,635,265
2015,3,13,662,266
2015,4,13,174,267
2015,4,14,1052,268
2015,4,15,1283,269
2015,4,16,1279,270
2015,4,17,1301,271
2015,4,18,170,272
2015,5,18,1269,273
2015,5,19,1416,274
2015,5,20,1459,275
2015,5,21,1459,276
2015,5,22,710,277
2015,6,22,886,278
2015,6,23,1616,279
2015,6,24,1454,280
2015,6,25,1911,281
2015,6,26,1592,282
2015,7,26,329,283
2015,7,27,2125,284
2015,7,28,2342,285
2015,7,29,2567,286
2015,7,30,2713,287
2015,7,31,837,288
2015,8,31,1792,289
2015,8,32,3026,290
2015,8,33,2346,291
2015,8,34,2503,292
2015,8,35,1584,293
2015,9,35,971,294
2015,9,36,2132,295
2015,9,37,2427,296
2015,9,38,2616,297
2015,9,39,2265,298
2015,10,40,2030,299
2015,10,41,1989,300
2015,10,42,1680,301
2015,10,43,1886,302
2015,10,44,436,303
2015,11,44,1220,304
2015,11,45,1396,305
2015,11,46,1418,306
2015,11,47,975,307
2015,11,48,630,308
2015,12,48,463,309
2015,12,49,1838,310
2015,12,50,1644,311
2015,12,51,966,312
2015,12,52,654,313
2015,12,53,62,314
2016,1,1,942,315
2016,1,2,987,316
2016,1,3,1075,317
2016,1,4,1383,318
2016,1,5,339,319
2016,2,5,1066,320
2016,2,6,1301,321
2016,2,7,1182,322
2016,2,8,1980,323
2016,2,9,641,324
2016,3,9,779,325
2016,3,10,2282,326
2016,3,11,1921,327
2016,3,12,2099,328
2016,3,13,2138,329
2016,4,14,1742,330
2016,4,15,3687,331
2016,4,16,3617,332
2016,4,17,2621,333
2016,4,18,540,334
2016,5,18,2191,335
2016,5,19,3237,336
2016,5,20,3175,337
2016,5,21,3224,338
2016,5,22,2277,339
2016,6,22,1248,340
